#multi:
,hip,,knee,,ankle,,toe,,
t,x,y,x,y,x,y,x,y,
0.000000E0,1.239783E-1,1.246635E0,1.733429E-1,7.105964E-1,1.481235E-1,1.941168E-1,3.757502E-1,1.049218E-1
8.159435E-3,1.235249E-1,1.246265E0,1.744923E-1,7.103310E-1,1.460789E-1,1.937122E-1,3.757603E-1,1.049136E-1
1.631887E-2,1.254523E-1,1.246486E0,1.758588E-1,7.106424E-1,1.480087E-1,1.941430E-1,3.758509E-1,1.047688E-1
2.447831E-2,1.256959E-1,1.245989E0,1.755331E-1,7.112029E-1,1.479104E-1,1.942459E-1,3.758626E-1,1.046814E-1
3.263774E-2,1.263104E-1,1.246008E0,1.773919E-1,7.111563E-1,1.460533E-1,1.936777E-1,3.757635E-1,1.048198E-1
4.079718E-2,1.273164E-1,1.246537E0,1.775381E-1,7.106189E-1,1.477710E-1,1.941665E-1,3.755994E-1,1.049065E-1
4.895661E-2,1.277016E-1,1.246201E0,1.764322E-1,7.097559E-1,1.476772E-1,1.941760E-1,3.754205E-1,1.051373E-1
5.711605E-2,1.292883E-1,1.246202E0,1.761086E-1,7.090013E-1,1.476725E-1,1.942221E-1,3.748232E-1,1.065876E-1
6.527548E-2,1.286547E-1,1.245496E0,1.764038E-1,7.090078E-1,1.458432E-1,1.937874E-1,3.741018E-1,1.068389E-1
7.343492E-2,1.303374E-1,1.244941E0,1.761697E-1,7.077872E-1,1.460476E-1,1.929445E-1,3.748154E-1,1.057932E-1
8.159435E-2,1.301627E-1,1.244957E0,1.772871E-1,7.081742E-1,1.471148E-1,1.928846E-1,3.737366E-1,1.072184E-1
8.975379E-2,1.313984E-1,1.244310E0,1.785880E-1,7.080657E-1,1.473091E-1,1.930736E-1,3.748234E-1,1.059252E-1
9.791322E-2,1.315277E-1,1.244532E0,1.775717E-1,7.068285E-1,1.473679E-1,1.928740E-1,3.747247E-1,1.058026E-1
1.060727E-1,1.329100E-1,1.243351E0,1.786437E-1,7.067462E-1,1.475900E-1,1.928433E-1,3.736705E-1,1.074604E-1
1.142321E-1,1.327167E-1,1.243372E0,1.805311E-1,7.058587E-1,1.475331E-1,1.926942E-1,3.735957E-1,1.073471E-1
1.223915E-1,1.352855E-1,1.241669E0,1.808987E-1,7.054734E-1,1.465368E-1,1.928021E-1,3.751122E-1,1.055929E-1
1.305510E-1,1.353487E-1,1.241734E0,1.800987E-1,7.033919E-1,1.462696E-1,1.925021E-1,3.748082E-1,1.061030E-1
1.387104E-1,1.358389E-1,1.240603E0,1.826762E-1,7.030892E-1,1.472185E-1,1.919337E-1,3.751898E-1,1.048672E-1
1.468698E-1,1.389259E-1,1.240046E0,1.832532E-1,7.021847E-1,1.464315E-1,1.912652E-1,3.754771E-1,1.053492E-1
1.550293E-1,1.398604E-1,1.239256E0,1.831466E-1,7.005533E-1,1.464564E-1,1.910436E-1,3.756231E-1,1.051819E-1
1.631887E-1,1.416438E-1,1.238218E0,1.856362E-1,7.000417E-1,1.482798E-1,1.917008E-1,3.723627E-1,9.996431E-2
1.713481E-1,1.413430E-1,1.237688E0,1.869692E-1,6.994600E-1,1.468529E-1,1.897026E-1,3.729424E-1,9.834326E-2
1.795076E-1,1.444173E-1,1.236820E0,1.871270E-1,6.978833E-1,1.480437E-1,1.896104E-1,3.722979E-1,9.988574E-2
1.876670E-1,1.441111E-1,1.236305E0,1.872343E-1,6.967376E-1,1.477528E-1,1.893079E-1,3.723213E-1,9.979887E-2
1.958264E-1,1.454276E-1,1.235394E0,1.887911E-1,6.961653E-1,1.475744E-1,1.889723E-1,3.725072E-1,9.949539E-2
2.039859E-1,1.473490E-1,1.235402E0,1.886217E-1,6.953097E-1,1.467303E-1,1.882759E-1,3.723567E-1,9.961717E-2
2.121453E-1,1.486225E-1,1.234238E0,1.914962E-1,6.955696E-1,1.464327E-1,1.877640E-1,3.725562E-1,9.939490E-2
2.203048E-1,1.518644E-1,1.233334E0,1.924672E-1,6.950825E-1,1.477838E-1,1.880851E-1,3.724778E-1,9.925374E-2
2.284642E-1,1.523296E-1,1.233045E0,1.932899E-1,6.946904E-1,1.474255E-1,1.878067E-1,3.728760E-1,9.853173E-2
2.366236E-1,1.564988E-1,1.232196E0,1.925257E-1,6.929968E-1,1.469190E-1,1.885390E-1,3.731355E-1,9.783187E-2
2.447831E-1,1.592179E-1,1.232104E0,1.943927E-1,6.920801E-1,1.466222E-1,1.880774E-1,3.723840E-1,9.859556E-2
2.529425E-1,1.624648E-1,1.231268E0,1.936637E-1,6.919930E-1,1.455283E-1,1.873848E-1,3.724262E-1,9.856878E-2
2.611019E-1,1.639383E-1,1.230674E0,1.972140E-1,6.915700E-1,1.482575E-1,1.890829E-1,3.726917E-1,9.821401E-2
2.692614E-1,1.665035E-1,1.230106E0,1.968224E-1,6.903604E-1,1.476048E-1,1.893855E-1,3.729262E-1,9.765879E-2
2.774208E-1,1.697299E-1,1.229503E0,1.978048E-1,6.915935E-1,1.488299E-1,1.888031E-1,3.732685E-1,9.694515E-2
2.855802E-1,1.728238E-1,1.228579E0,1.996951E-1,6.917784E-1,1.490064E-1,1.896749E-1,3.739430E-1,9.606234E-2
2.937397E-1,1.769033E-1,1.228019E0,2.014262E-1,6.918594E-1,1.480045E-1,1.881046E-1,3.735725E-1,9.637914E-2
3.018991E-1,1.794164E-1,1.227413E0,2.024534E-1,6.906695E-1,1.482502E-1,1.883440E-1,3.742502E-1,9.465781E-2
